id,fips,Diabetes_Rate,Diabetes_Rate_White,Diabetes_Rate_Black,Diabetes_Rate_Asian,Diabetes_Rate_Hispanic,Grocery_Store_Proximity,Convenience_Store_Proximity,SNAP_Households,Income_Spent_on_Food,Housing_in_Poor_Repair,Drug_Arrests,Tree_Coverage,Air_Polluter_Proximity,Ejectments_per_Square_Mile,Cost_Burdened_Households,Sidewalks,Parks_Proximity,Traffic_Exposure,Bike_Commuters,Residents_Below_Poverty_Level,Service_Industry_Jobs,Racial_Income_Disparity,Clinic_Proximity,People_without_Insurance,Bus_Stop_Proximity,Pharmacy_Proximity,Childcare_Centers_per_Square_Mile,Healthcare_Workers,Total_Residents,Pct_Black,Pct_Hispanic,Pct_Non_Hispanic_White,Pct_Asian,Pct_Youth,Pct_Over_65,Patients_per_Acre,Dwellings_per_Acre
20.07,37063002007,0.126210559,0.084719335,0.214570858,0.117647059,0.071428571,0.110784725,0.125472094,0.036,,0,6.030153101,0.669953517,0,41.35403169,0.327914798,0.176149028,0.239849309,0.109139718,0.014163373,9.3,0.172995781,1.194097181,0.002517835,9.8,0.15107008,0.110784725,0.861450443,0.405712431,5081,0.327358879,0.057684384,0.57210548,0.038112897,0.192830655,0.157807993,2.231268978,1.60395595
20.08,37063002008,0.068415638,0.06042654,0.174603175,0.072727273,0,0.003202562,0.027221777,0,,0.002442997,2.493625832,0.689595536,0,4.489019804,0.230919765,0.072870131,0.025620496,0.03918284,0,0.2,0.05,1.099371112,0,0.3,0.103282626,0.003202562,0.997450333,0.443292683,3101,0.073271414,0.029927761,0.854833161,0.036807706,0.251117991,0.165118679,1.598440348,0.973404191
20.09,37063002009,0.216097714,0.119047619,0.232861401,,0.139465875,0.058883249,0.162436548,0.177,,0.006595637,8.425660948,0.582878111,0.044162437,31.95055619,0.543494996,0.319622288,0.851741293,0.102902322,0.006169377,17.1,0.28373126,1.058497172,0.020304569,21.1,0.758375635,0.016751269,7.723522535,0.274847307,4559,0.846104589,0.126360726,0.01814301,0.003415155,0.241195304,0.167342583,1.85098975,1.080749795
20.13,37063002013,0.136665365,0.119109948,0.183310534,0.102272727,0.150943396,0.018789144,0.186325678,0.029,,0.000534759,0.479862891,0.644518067,0,15.83754788,0.307884856,0.164951142,0,0.025012334,0.003746878,9.1,0.147893031,1.145949344,0,9.6,0.091858038,0,5.278491797,0.330226904,4550,0.278286097,0.098861861,0.560589154,0.052220486,0.243695604,0.095514394,2.079434709,1.43678215
20.15,37063002015,0.101845958,0.065585851,0.169965076,0.060344828,0.110535406,0.131294293,0.844088027,0.11,,0.000373413,11.7495691,0.418390691,0.201417382,242.6180201,0.42410342,0.276645754,0.183818046,0.207182894,0.005786618,17.7,0.236493739,1.571328818,0.361432301,24.5,0.759045132,0.061171205,8.293813485,0.300894454,5505,0.270138483,0.296859762,0.362005071,0.060659255,0.21123464,0.11897796,3.735839912,2.895572942
20.16,37063002016,0.093543654,0.06937799,0.11391129,0.034146341,0.130518234,0.470007057,0.574100212,0.126,,0.000366569,15.03890198,0.419009507,0.281580805,411.400477,0.473705022,0.346958105,0.306986591,0.28656585,0,34.7,0.294099379,1.436322891,0.023994354,30.8,0.927664079,0.297106563,0.884641293,0.344099379,5731,0.302005944,0.365527489,0.24089896,0.085995542,0.209138187,0.029717682,4.333822762,3.917720481
20.17,37063002017,0.079609229,0.073661321,0.130630631,0.075801749,0.122641509,0.011764706,0.280164159,0.006,,0.000275558,0.789472456,0.698480137,0,17.10680208,0.39086971,0.206034622,0.302293828,0.052545684,0.002772177,7.7,0.085206224,1.048138679,0.119288646,4.3,0.277975376,0.000547196,0.394736228,0.532477155,7615,0.079200481,0.043432522,0.765253983,0.104298167,0.223624887,0.145175834,1.023945691,0.751510342
20.18,37063002018,0.078730905,0.064005279,0.145187602,0.09057971,0.097345133,0.049041714,0.155768508,0.046,,0.000794281,1.146989,0.682605852,0.009207065,38.42853347,0.369488252,0.300095332,0.334340562,0.189383811,0,9.5,0.114804202,1.202430167,0.004321684,7.8,0.412063134,0.0526118,0.716868125,0.386819484,8674,0.146598958,0.061339035,0.707737538,0.076439931,0.161031672,0.161566217,1.018298514,1.19238387
20.19,37063002019,0.065533981,0.055248619,0.125,0.045454545,0.09375,0.001415929,0.328849558,0.011,,0.001876877,0.12395615,0.767396181,0,9.049991297,0.280652681,0.194298998,0,0.142802029,0,11.1,0.081232493,1.099235488,0.126725664,6,0.373451327,0.126725664,0,0.473389356,4844,0.128176044,0.043784029,0.743421053,0.077359347,0.141560799,0.123865699,0.345383876,0.54722908
20.2,37063002020,0.082023061,0.059528908,0.13356974,0.101694915,0.084507042,0.017655367,0.001059322,0,,0.000816993,0.156120878,0.701320659,0,1.092992401,0.204355885,0.473957765,0.055771267,0.025925296,0.005995829,0.4,0.081736909,1.087591526,0.001059322,4.5,0.001765537,0,0.936725268,0.352745849,6971,0.239056668,0.034781133,0.600950119,0.116559213,0.286562606,0.058703767,0.867554195,0.690920551
