Id2,Id2,Estimate; Total:,PerW,PerAA,per_30to74,SexR
370630001011,370630001011,1369,0.533235938641344,0.3418553688823959,0.6245434623813003,0.6838868388683887
370630001012,370630001012,1705,0.18005865102639296,0.5560117302052786,0.5847507331378299,0.9597701149425287
370630001021,370630001021,2900,0.5768965517241379,0.37655172413793103,0.5279310344827586,1.0279720279720281
370630001022,370630001022,1620,0.6407407407407407,0.19197530864197532,0.5901234567901235,0.9950738916256159
370630002001,370630002001,1320,0.4393939393939394,0.3606060606060606,0.5174242424242423,0.91027496382055
370630002002,370630002002,1027,0.4936708860759494,0.40311587147030187,0.6027263875365142,1.3995327102803736
370630002003,370630002003,972,0.9567901234567902,0.03806584362139918,0.6141975308641976,1.2293577981651376
370630003011,370630003011,1068,0.4344569288389513,0.5056179775280899,0.5599250936329588,0.8936170212765958
370630003012,370630003012,768,0.4934895833333333,0.4322916666666667,0.6263020833333335,0.949238578680203
370630003013,370630003013,782,0.8056265984654731,0.11381074168797954,0.46547314578005106,1.0687830687830688
370630003021,370630003021,986,0.781947261663286,0.07606490872210954,0.7038539553752536,0.783001808318264
370630003022,370630003022,929,0.8417653390742734,0.10118406889128095,0.5855758880516685,0.7628083491461101
370630003023,370630003023,1495,0.8053511705685619,0.09163879598662207,0.5070234113712373,0.7363530778164924
370630004011,370630004011,848,0.9339622641509434,0.045990566037735846,0.6615566037735848,0.8678414096916299
370630004012,370630004012,1144,0.9545454545454546,0.007867132867132868,0.5804195804195803,0.9792387543252595
370630004013,370630004013,975,0.8851282051282051,0.04717948717948718,0.6297435897435897,1.215909090909091
370630004021,370630004021,2093,0.8294314381270903,0.04300047778308648,0.38270425226946964,0.9952335557673975
370630005001,370630005001,996,0.5913654618473896,0.23493975903614459,0.08534136546184738,1.2896551724137932
370630005002,370630005002,529,0.6616257088846881,0.27599243856332706,0.6181474480151229,1.3303964757709252
370630005003,370630005003,1017,0.22812192723697147,0.5899705014749262,0.42772861356932146,1.348729792147806
370630005004,370630005004,1628,0.33722358722358725,0.6554054054054054,0.4582309582309583,1.037546933667084
370630006001,370630006001,2889,0.5462097611630322,0.3115264797507788,0.5919003115264797,1.210405508798776
370630006002,370630006002,2317,0.63314630988347,0.22140699179974105,0.5912818299525248,1.0165361183637946
370630006003,370630006003,528,0.8181818181818182,0.07007575757575757,0.7575757575757577,0.7777777777777778
370630007001,370630007001,970,0.7268041237113402,0.21237113402061855,0.5494845360824743,1.266355140186916
370630007002,370630007002,1324,0.6880664652567976,0.24848942598187312,0.5921450151057402,1.0
370630007003,370630007003,1451,0.43004824259131635,0.4135079255685734,0.6560992419021365,1.0013793103448276
370630009001,370630009001,1089,0.38292011019283745,0.5022956841138659,0.5730027548209365,1.388157894736842
370630009002,370630009002,1020,0.19705882352941176,0.7009803921568627,0.46470588235294114,0.9883040935672515
370630010011,370630010011,884,0.41855203619909503,0.415158371040724,0.6481900452488687,0.9134199134199135
370630010012,370630010012,1404,0.10541310541310542,0.6488603988603988,0.5334757834757835,0.9050203527815469
370630010013,370630010013,1513,0.0806345009914078,0.8625247851949769,0.5333773959021811,0.6445652173913045
370630010021,370630010021,2525,0.5255445544554456,0.27603960396039606,0.4443564356435644,0.7294520547945206
370630010022,370630010022,1097,0.12488605287146765,0.7629899726526892,0.5077484047402006,0.6496240601503759
370630010023,370630010023,749,0.2616822429906542,0.6101468624833111,0.684913217623498,1.2560240963855422
370630010024,370630010024,1752,0.567351598173516,0.2734018264840183,0.48972602739726023,0.9252747252747252
370630011001,370630011001,2116,0.31758034026465026,0.5855387523629489,0.5122873345935728,0.9849906191369606
370630011002,370630011002,1309,0.2345301757066463,0.6363636363636364,0.5645530939648586,1.3168141592920355
370630013011,370630013011,1384,0.06791907514450866,0.8323699421965318,0.46026011560693636,0.8602150537634409
370630013031,370630013031,3154,0.09131261889663919,0.8341788205453392,0.19879518072289157,0.5355404089581305
370630013032,370630013032,492,0.018292682926829267,0.9817073170731707,0.6178861788617885,0.5138461538461538
370630013041,370630013041,3305,0.08169440242057488,0.7288956127080182,0.4384266263237518,0.9148319814600232
370630014001,370630014001,438,0.1050228310502283,0.8949771689497716,0.5707762557077625,0.6282527881040891
370630014002,370630014002,1937,0.08156943727413526,0.8327310273618999,0.32627774909654106,0.7738095238095238
370630015011,370630015011,2948,0.492876526458616,0.2527137042062415,0.007123473541383989,0.9192708333333334
370630015021,370630015021,2861,0.46487242222998953,0.35721775602936034,0.41279272981475,1.0944363103953147
370630015022,370630015022,806,0.6464019851116626,0.0,0.25682382133995035,1.0666666666666667
370630015023,370630015023,1919,0.2146951537258989,0.2688900468994268,0.4043772798332465,0.6005004170141784
370630015024,370630015024,455,0.3802197802197802,0.567032967032967,0.4417582417582418,1.420212765957447
370630015031,370630015031,1638,0.43772893772893773,0.28815628815628813,0.0,0.9024390243902438
370630016011,370630016011,1488,0.6626344086021505,0.24059139784946237,0.5685483870967742,0.9893048128342246
370630016012,370630016012,3309,0.538229072227259,0.3723179208220006,0.547899667573285,0.9637982195845697
370630016013,370630016013,1264,0.8125,0.1875,0.704113924050633,0.5358444714459295
370630016031,370630016031,596,0.9261744966442953,0.0738255033557047,0.5083892617449666,0.9225806451612903
370630016032,370630016032,3136,0.6157525510204082,0.27040816326530615,0.5408163265306122,0.7747594793435201
370630016033,370630016033,1250,0.7208,0.1912,0.6072,1.1853146853146852
370630016034,370630016034,1506,0.9335989375830013,0.05776892430278884,0.7065073041168657,1.214705882352941
