,merge,PopDen,PerW,PerAA,SexR,PerR,per_30to74,total__diabetic__per_sq_mi,actual_diabetic__poor_control_rate
0,370630001011,1910.1660648145942,0.533235938641344,0.3418553688823959,0.6838868388683887,0.4662212323682257,0.6245434623813003,145.06534580000002,0.027472527000000004
1,370630001012,2846.034613546416,0.18005865102639296,0.5560117302052786,0.9597701149425288,0.3726303317535545,0.5847507331378299,391.7162204,0.056956876
2,370630001021,4700.6010893643015,0.5768965517241379,0.37655172413793103,1.027972027972028,0.7593103448275862,0.5279310344827586,310.1381588,0.034909091
3,370630001022,1735.6908321919157,0.6407407407407407,0.19197530864197526,0.995073891625616,0.5246132208157525,0.5901234567901235,177.1487304,0.037306642
4,370630002001,1849.3959510650448,0.4393939393939394,0.3606060606060606,0.91027496382055,0.8531746031746031,0.5174242424242423,145.66381819999998,0.041481481
5,370630002002,5260.927803806222,0.4936708860759494,0.40311587147030187,1.3995327102803736,0.5995085995085995,0.6027263875365142,420.9932569,0.033123028
6,370630002003,3773.415601505914,0.9567901234567902,0.038065843621399184,1.2293577981651376,0.3878406708595388,0.6141975308641976,176.81951750000002,0.018151815
7,370630003011,3187.622416788699,0.4344569288389513,0.5056179775280899,0.8936170212765958,0.8192090395480226,0.5599250936329588,247.19783399999997,0.033492823
8,370630003012,7554.540462271184,0.4934895833333333,0.4322916666666667,0.949238578680203,0.6145833333333334,0.6263020833333335,672.0507295,0.047058824000000006
9,370630003013,7730.752788280859,0.8056265984654731,0.11381074168797956,1.0687830687830688,0.6735751295336787,0.4654731457800511,362.1783819,0.015936255
10,370630003021,4192.564059030298,0.781947261663286,0.07606490872210954,0.783001808318264,0.15010141987829614,0.7038539553752536,143.1488311,0.007561437
11,370630003022,5358.175302873456,0.8417653390742734,0.10118406889128097,0.7628083491461101,0.4703982777179763,0.5855758880516685,319.8122275,0.027070063999999998
12,370630003023,5831.480859745793,0.8053511705685619,0.09163879598662207,0.7363530778164924,0.6657700067249496,0.5070234113712373,274.2213902,0.013631938
13,370630004011,1709.0135812830426,0.9339622641509434,0.04599056603773585,0.8678414096916299,0.2346698113207547,0.6615566037735848,115.68961609999998,0.021052632
14,370630004012,4062.504905013025,0.9545454545454546,0.007867132867132868,0.9792387543252596,0.19910714285714284,0.5804195804195803,87.90517129999999,0.012383901000000001
15,370630004013,1814.7987625492167,0.8851282051282051,0.04717948717948718,1.2159090909090908,0.2697435897435897,0.6297435897435897,64.69169111,0.013645224
16,370630004021,3785.008500725817,0.8294314381270903,0.04300047778308648,0.9952335557673976,0.6693741041567128,0.3827042522694696,137.87776350000001,0.011413043000000001
17,370630005001,2900.952076743534,0.5913654618473896,0.23493975903614456,1.2896551724137932,0.9655172413793104,0.08534136546184737,60.56273644,0.0
18,370630005002,2938.327243960246,0.6616257088846881,0.27599243856332706,1.3303964757709252,0.5519848771266541,0.6181474480151229,203.49362490000001,0.027027027000000002
