Id2,Male,Female,SexR
371000000000.0,0.40613586559532505,0.5938641344046749,0.6838868388683887
371000000000.0,0.4897360703812317,0.5102639296187683,0.9597701149425287
371000000000.0,0.506896551724138,0.49310344827586206,1.0279720279720281
371000000000.0,0.49876543209876545,0.5012345679012346,0.9950738916256159
371000000000.0,0.4765151515151515,0.5234848484848484,0.91027496382055
371000000000.0,0.5832521908471275,0.41674780915287246,1.3995327102803736
371000000000.0,0.551440329218107,0.448559670781893,1.2293577981651376
371000000000.0,0.47191011235955055,0.5280898876404494,0.8936170212765958
371000000000.0,0.4869791666666667,0.5130208333333334,0.949238578680203
371000000000.0,0.5166240409207161,0.4833759590792839,1.0687830687830688
371000000000.0,0.43914807302231235,0.5608519269776876,0.783001808318264
371000000000.0,0.4327233584499462,0.5672766415500539,0.7628083491461101
371000000000.0,0.4240802675585284,0.5759197324414715,0.7363530778164924
371000000000.0,0.46462264150943394,0.535377358490566,0.8678414096916299
371000000000.0,0.49475524475524474,0.5052447552447552,0.9792387543252595
371000000000.0,0.5487179487179488,0.4512820512820513,1.215909090909091
371000000000.0,0.49880554228380314,0.5011944577161969,0.9952335557673975
371000000000.0,0.5632530120481928,0.4367469879518072,1.2896551724137932
371000000000.0,0.5708884688090737,0.42911153119092627,1.3303964757709252
371000000000.0,0.5742379547689282,0.4257620452310718,1.348729792147806
371000000000.0,0.5092137592137592,0.4907862407862408,1.037546933667084
371000000000.0,0.5475943232952579,0.45240567670474213,1.210405508798776
371000000000.0,0.5041001294777729,0.495899870522227,1.0165361183637946
371000000000.0,0.4375,0.5625,0.7777777777777778
371000000000.0,0.5587628865979382,0.44123711340206184,1.266355140186916
371000000000.0,0.5,0.5,1.0
371000000000.0,0.5003445899379738,0.4996554100620262,1.0013793103448276
371000000000.0,0.581267217630854,0.418732782369146,1.388157894736842
371000000000.0,0.4970588235294118,0.5029411764705882,0.9883040935672515
371000000000.0,0.47737556561085975,0.5226244343891403,0.9134199134199135
371000000000.0,0.47507122507122507,0.5249287749287749,0.9050203527815469
371000000000.0,0.39193654990085924,0.6080634500991408,0.6445652173913045
371000000000.0,0.42178217821782177,0.5782178217821782,0.7294520547945206
371000000000.0,0.39380127620783956,0.6061987237921604,0.6496240601503759
371000000000.0,0.5567423230974633,0.4432576769025367,1.2560240963855422
371000000000.0,0.4805936073059361,0.519406392694064,0.9252747252747252
371000000000.0,0.4962192816635161,0.503780718336484,0.9849906191369606
371000000000.0,0.5683728036669213,0.43162719633307867,1.3168141592920355
371000000000.0,0.4624277456647399,0.5375722543352601,0.8602150537634409
371000000000.0,0.34876347495244137,0.6512365250475587,0.5355404089581305
371000000000.0,0.3394308943089431,0.6605691056910569,0.5138461538461538
371000000000.0,0.4777609682299546,0.5222390317700454,0.9148319814600232
371000000000.0,0.3858447488584475,0.6141552511415526,0.6282527881040891
371000000000.0,0.436241610738255,0.5637583892617449,0.7738095238095238
371000000000.0,0.4789687924016282,0.5210312075983717,0.9192708333333334
371000000000.0,0.5225445648374694,0.4774554351625306,1.0944363103953147
371000000000.0,0.5161290322580645,0.4838709677419355,1.0666666666666667
371000000000.0,0.3751954142782699,0.62480458572173,0.6005004170141784
371000000000.0,0.5868131868131868,0.41318681318681316,1.420212765957447
371000000000.0,0.47435897435897434,0.5256410256410257,0.9024390243902438
371000000000.0,0.49731182795698925,0.5026881720430108,0.9893048128342246
371000000000.0,0.490782713810819,0.509217286189181,0.9637982195845697
371000000000.0,0.34889240506329117,0.6511075949367089,0.5358444714459295
371000000000.0,0.4798657718120805,0.5201342281879194,0.9225806451612903
371000000000.0,0.43654336734693877,0.5634566326530612,0.7747594793435201
371000000000.0,0.5424,0.4576,1.1853146853146852
371000000000.0,0.548472775564409,0.45152722443559096,1.214705882352941
371000000000.0,0.4291845493562232,0.5708154506437768,0.7518796992481204
371000000000.0,0.45846817691477887,0.5415318230852212,0.846613545816733
371000000000.0,0.4175334323922734,0.5824665676077266,0.7168367346938775
371000000000.0,0.3399412628487518,0.6600587371512482,0.5150166852057841
371000000000.0,0.45517805976258696,0.544821940237413,0.8354620586025544
371000000000.0,0.35678391959798994,0.6432160804020101,0.5546875
371000000000.0,0.5406153846153846,0.4593846153846154,1.1768251841929003
371000000000.0,0.4113849765258216,0.5886150234741784,0.6989032901296113
371000000000.0,0.3997965412004069,0.6002034587995931,0.6661016949152542
371000000000.0,0.46795907377490575,0.5320409262250942,0.8795546558704453
