Cost_Burdened_Households,Ejectments_per_Square_Mile,Sidewalks,Traffic_Exposure,Healthcare_Workers,Pct_Over_65,0
0.339640492,84.3673842,0.27246155899999996,0.13467262900000002,0.39251040200000004,0.092956853,5.0
0.339640492,84.3673842,0.27246155899999996,0.13467262900000002,0.39251040200000004,0.092956853,5.0
0.44365361799999997,190.9457706,0.334010543,0.149916792,0.281639213,0.113340684,0.0
0.44365361799999997,190.9457706,0.334010543,0.149916792,0.281639213,0.113340684,0.0
0.35971855799999997,246.90150380000003,0.48835193299999996,0.183477534,0.306317044,0.065512559,0.0
0.35971855799999997,246.90150380000003,0.48835193299999996,0.183477534,0.306317044,0.065512559,0.0
0.35971855799999997,246.90150380000003,0.48835193299999996,0.183477534,0.306317044,0.065512559,0.0
0.48239771600000003,280.7631062,0.8784900929999999,0.248056191,0.41872278700000004,0.055511182,4.0
0.48239771600000003,280.7631062,0.8784900929999999,0.248056191,0.41872278700000004,0.055511182,4.0
0.48239771600000003,280.7631062,0.8784900929999999,0.248056191,0.41872278700000004,0.055511182,4.0
0.34901462200000005,200.03834030000002,0.5315666379999999,0.056604576,0.438755981,0.061879743,0.0
0.34901462200000005,200.03834030000002,0.5315666379999999,0.056604576,0.438755981,0.061879743,0.0
0.34901462200000005,200.03834030000002,0.5315666379999999,0.056604576,0.438755981,0.061879743,0.0
0.275071633,20.53318845,0.36051785,0.201945502,0.422374429,0.102655569,5.0
0.275071633,20.53318845,0.36051785,0.201945502,0.422374429,0.102655569,5.0
0.275071633,20.53318845,0.36051785,0.201945502,0.422374429,0.102655569,5.0
0.50364204,50.63955607,0.7798845090000001,0.199014902,0.42930153299999996,0.05043301099999999,4.0
0.5366713679999999,181.55826519999997,0.5577640189999999,0.078671724,0.391409558,0.083312973,0.0
0.5366713679999999,181.55826519999997,0.5577640189999999,0.078671724,0.391409558,0.083312973,0.0
0.5366713679999999,181.55826519999997,0.5577640189999999,0.078671724,0.391409558,0.083312973,0.0
0.5366713679999999,181.55826519999997,0.5577640189999999,0.078671724,0.391409558,0.083312973,0.0
0.452606635,141.94041830000003,0.207690395,0.09597541300000001,0.298931196,0.094069925,2.0
0.452606635,141.94041830000003,0.207690395,0.09597541300000001,0.298931196,0.094069925,2.0
0.452606635,141.94041830000003,0.207690395,0.09597541300000001,0.298931196,0.094069925,2.0
0.34432717700000004,64.65375438,0.501477532,0.074058828,0.367126575,0.130388693,5.0
0.34432717700000004,64.65375438,0.501477532,0.074058828,0.367126575,0.130388693,5.0
0.34432717700000004,64.65375438,0.501477532,0.074058828,0.367126575,0.130388693,5.0
0.624390244,356.1233413,0.41165495799999996,0.077111547,0.159367397,0.082134293,3.0
0.624390244,356.1233413,0.41165495799999996,0.077111547,0.159367397,0.082134293,3.0
0.445040214,301.26929069999994,0.6447394670000001,0.016603059,0.171396772,0.075014426,3.0
0.445040214,301.26929069999994,0.6447394670000001,0.016603059,0.171396772,0.075014426,3.0
0.445040214,301.26929069999994,0.6447394670000001,0.016603059,0.171396772,0.075014426,3.0
0.49711891,322.53817799999996,0.27885372399999997,0.10550835,0.152034261,0.06260462,3.0
0.49711891,322.53817799999996,0.27885372399999997,0.10550835,0.152034261,0.06260462,3.0
0.49711891,322.53817799999996,0.27885372399999997,0.10550835,0.152034261,0.06260462,3.0
0.49711891,322.53817799999996,0.27885372399999997,0.10550835,0.152034261,0.06260462,3.0
0.44342507600000003,575.1840301,0.656202561,0.12335546,0.23659757,0.09116279099999999,1.0
0.44342507600000003,575.1840301,0.656202561,0.12335546,0.23659757,0.09116279099999999,1.0
0.575949367,372.20914389999996,0.6309387479999999,0.027993152,0.238546603,0.11081560300000001,3.0
0.5354838710000001,183.18848830000002,0.661796884,0.111729294,0.459285714,0.088683351,4.0
0.5354838710000001,183.18848830000002,0.661796884,0.111729294,0.459285714,0.088683351,4.0
0.511516315,307.0486903,0.5801581960000001,0.16878922100000002,0.267594108,0.133750489,0.0
0.405815424,677.4583903,0.604411166,0.067954163,0.331134565,0.09083940199999999,1.0
0.405815424,677.4583903,0.604411166,0.067954163,0.331134565,0.09083940199999999,1.0
0.8666666670000001,0.0,0.669660416,0.160202144,0.63943662,0.0,4.0
0.5347177160000001,394.0751625,0.390460711,0.1985635,0.457652303,0.04610758400000001,4.0
0.5347177160000001,394.0751625,0.390460711,0.1985635,0.457652303,0.04610758400000001,4.0
0.5347177160000001,394.0751625,0.390460711,0.1985635,0.457652303,0.04610758400000001,4.0
0.5347177160000001,394.0751625,0.390460711,0.1985635,0.457652303,0.04610758400000001,4.0
,,,,,,6.0
0.276255708,3.947455227,0.10589381,0.052151668,0.37786913299999997,0.158284533,6.0
0.276255708,3.947455227,0.10589381,0.052151668,0.37786913299999997,0.158284533,6.0
0.276255708,3.947455227,0.10589381,0.052151668,0.37786913299999997,0.158284533,6.0
0.20072614100000002,2.8007011760000005,0.23280189,0.062936928,0.40212766,0.131876894,6.0
0.20072614100000002,2.8007011760000005,0.23280189,0.062936928,0.40212766,0.131876894,6.0
0.20072614100000002,2.8007011760000005,0.23280189,0.062936928,0.40212766,0.131876894,6.0
0.20072614100000002,2.8007011760000005,0.23280189,0.062936928,0.40212766,0.131876894,6.0
0.225185185,1.264377338,0.307567421,0.017538825,0.33089172,0.151843491,6.0
0.225185185,1.264377338,0.307567421,0.017538825,0.33089172,0.151843491,6.0
0.225185185,1.264377338,0.307567421,0.017538825,0.33089172,0.151843491,5.0
0.322645291,26.06549418,0.206398898,0.194435382,0.369608231,0.183447665,5.0
