,merge,sidetoroad,PopDen,rentburden,Uninsured_Adult19_64,PerW,PerAA,per_30to74,SexR,PerR,Short_Name,total__diabetic,white__diabetic__rate,african_american__diabetic__rate,hispanic__diabetic__rate,age_30_64__diabetic__rate,total__diabetic__rate,total__diabetic__per_sq_mi,actual_diabetic__poor_control_rate,actual_minus_expected__diabetic__poor_control,Evictions
0,370630001011,32.84849404292648%,1910.1660648145942,0.5888157894736842,0.279651795429815,0.533235938641344,0.3418553688823959,0.6245434623813003,0.6838868388683887,0.4662212323682257,Colonial Village,105.0,0.099447514,0.20869565199999998,0.145833333,0.14743589699999998,0.144230769,145.06534580000002,0.027472527000000004,0.003835618,4.382761139517896
1,370630001012,22.275530636985714%,2846.034613546416,0.5196078431372549,0.3346814964610718,0.18005865102639296,0.5560117302052786,0.5847507331378299,0.9597701149425288,0.3726303317535545,Braggtown/ E. Club at   N. Roxboro,237.0,0.13008130099999998,0.224969098,0.12080536900000001,0.20827943100000001,0.192839707,391.7162204,0.056956876,0.025520056,2.6392961876832843
2,370630001021,46.51682476607223%,4700.6010893643015,0.6326530612244898,0.526100307062436,0.5768965517241379,0.37655172413793103,0.5279310344827586,1.027972027972028,0.7593103448275862,Leon St./Northgate Park ,189.0,0.101030928,0.18115942,0.121118012,0.15865921800000002,0.137454545,310.1381588,0.034909091,0.006365885,11.655172413793103
3,370630001022,23.249624230132852%,1735.6908321919157,0.35625,0.2720232333010649,0.6407407407407407,0.19197530864197526,0.5901234567901235,0.995073891625616,0.5246132208157525,Stadium Drive/Duke Reginal Hosp,167.0,0.10896309300000001,0.215434084,0.18954248399999998,0.153295129,0.151956324,177.1487304,0.037306642,0.01442368,3.888888888888889
4,370630002001,34.91337020433761%,1849.3959510650448,0.45609065155807366,0.5365591397849462,0.4393939393939394,0.3606060606060606,0.5174242424242423,0.91027496382055,0.8531746031746031,Duke Park/Old North Durham,105.0,0.095785441,0.221183801,0.121621622,0.151927438,0.15555555599999998,145.66381819999998,0.041481481,0.014900347,6.893939393939394
5,370630002002,56.4177547436314%,5260.927803806222,0.3879310344827586,0.3795811518324607,0.4936708860759494,0.40311587147030187,0.6027263875365142,1.3995327102803736,0.5995085995085995,Old North Durham/Geer St,83.0,0.068965517,0.176470588,0.136,0.144578313,0.13091482599999998,420.9932569,0.033123028,0.004076528,5.063291139240507
6,370630002003,62.06925875169086%,3773.415601505914,0.5102040816326531,0.3081395348837209,0.9567901234567902,0.038065843621399184,0.6141975308641976,1.2293577981651376,0.3878406708595388,Cole Mill Rd/Eno/Rose of Sharron,46.0,0.049528302,0.151515152,0.185185185,0.063938619,0.075907591,176.81951750000002,0.018151815,3.05e-05,1.646090534979424
7,370630003011,84.37747856587788%,3187.622416788699,0.5157894736842106,0.16402877697841728,0.4344569288389513,0.5056179775280899,0.5599250936329588,0.8936170212765958,0.8192090395480226,Northgate Mall,87.0,0.10619469,0.171102662,0.19,0.165394402,0.138755981,247.19783399999997,0.033492823,0.006541163000000001,7.490636704119851
8,370630003012,93.00359032522276%,7554.540462271184,0.4291845493562232,0.325242718446602,0.4934895833333333,0.4322916666666667,0.6263020833333335,0.949238578680203,0.6145833333333334,Walltown,69.0,0.054216867,0.257894737,0.26,0.181818182,0.162352941,672.0507295,0.047058824000000006,0.02075787,6.25
9,370630003013,87.42430560275123%,7730.752788280859,0.41964285714285715,0.1856617647058824,0.8056265984654731,0.11381074168797956,0.4654731457800511,1.0687830687830688,0.6735751295336787,Trinity Heights,37.0,0.043731778,0.2,0.129032258,0.062706271,0.07370517900000001,362.1783819,0.015936255,-0.001409049,2.4296675191815855
10,370630003021,32.69018523547813%,4192.564059030298,0.10975609756097561,0.0,0.781947261663286,0.07606490872210954,0.7038539553752536,0.783001808318264,0.15010141987829614,Trinity Park North,34.0,0.052256532,0.127272727,0.166666667,0.061994609000000006,0.064272212,143.1488311,0.007561437,-0.007197268000000001,0.3042596348884381
11,370630003022,36.199687861813786%,5358.175302873456,0.34972677595628415,0.1,0.8417653390742734,0.10118406889128097,0.5855758880516685,0.7628083491461101,0.4703982777179763,Trinity Park,56.0,0.048128342000000005,0.213793103,0.083333333,0.095588235,0.089171975,319.8122275,0.027070063999999998,0.005768785,3.552206673842842
12,370630003023,79.22846082058726%,5831.480859745793,0.4806201550387597,0.1710758377425044,0.8053511705685619,0.09163879598662207,0.5070234113712373,0.7363530778164924,0.6657700067249496,Trinity Park South,71.0,0.047058824000000006,0.157232704,0.125,0.067993367,0.069133398,274.2213902,0.013631938,-0.005007061,3.9464882943143813
13,370630004011,22.167223401176063%,1709.0135812830426,0.11627906976744186,0.06478405315614617,0.9339622641509434,0.04599056603773585,0.6615566037735848,0.8678414096916299,0.2346698113207547,Watts Hospital-Hillandale,58.0,0.076923077,0.185185185,0.072727273,0.06323185,0.087218045,115.68961609999998,0.021052632,0.004165915,2.240566037735849
14,370630004012,36.75117940721183%,4062.504905013025,0.5247524752475248,0.06461086637298091,0.9545454545454546,0.007867132867132868,0.5804195804195803,0.9792387543252596,0.19910714285714284,NCSSM,25.0,0.02617801,0.185185185,0.25,0.038202247,0.03869969,87.90517129999999,0.012383901000000001,-0.000262456,0.26223776223776224
15,370630004013,46.51281081753805%,1814.7987625492167,0.39473684210526316,0.12167832167832167,0.8851282051282051,0.04717948717948718,0.6297435897435897,1.2159090909090908,0.2697435897435897,W Hillandale and South of W. Club,35.0,0.052256532,0.181818182,0.2,0.073248408,0.068226121,64.69169111,0.013645224,-0.000275573,0.5128205128205128
